metodo,execucoes,melhor_valor,pior_valor,valor_medio,peso_medio,tempo_medio_ms
AG Original,30,1028.0,1006.0,1016.8333333333334,499.26666666666665,48.32762666822722
AG Otimizado,30,1031.0,1023.0,1027.5,499.8333333333333,292.085263315433
Guloso,1,1018.0,1018.0,1018.0,493.0,0.022399937734007835
Memético,30,1031.0,1026.0,1029.1333333333334,499.93333333333334,290.75440998810035
